"rr","cil","ciu","outcome","lag","quantile","bisection_method"
1.0072,0.9929,1.0217,"resp","0",1,"perc75"
1.0046,0.99,1.0195,"resp","1",1,"perc75"
0.9963,0.9829,1.0099,"resp","2",1,"perc75"
0.9877,0.9698,1.006,"resp","0",2,"perc75"
1.0206,1.0042,1.0372,"resp","1",2,"perc75"
1.0093,0.9856,1.0336,"resp","2",2,"perc75"
1.0053,0.9918,1.019,"resp","0",1,"perc80"
1.0067,0.9949,1.0186,"resp","1",1,"perc80"
0.9939,0.9794,1.0087,"resp","2",1,"perc80"
0.9879,0.9651,1.0113,"resp","0",2,"perc80"
1.0185,1.0003,1.037,"resp","1",2,"perc80"
1.0172,0.994,1.0411,"resp","2",2,"perc80"
1.0025,0.9893,1.0158,"resp","0",1,"perc85"
1.0076,0.9952,1.0201,"resp","1",1,"perc85"
0.9934,0.9801,1.0069,"resp","2",1,"perc85"
0.9928,0.9645,1.0219,"resp","0",2,"perc85"
1.0186,0.9958,1.042,"resp","1",2,"perc85"
1.0271,1.0037,1.0511,"resp","2",2,"perc85"
1.0065,0.9923,1.021,"resp","0",1,"abs25"
1.006,0.9946,1.0175,"resp","1",1,"abs25"
0.9947,0.9797,1.0099,"resp","2",1,"abs25"
0.9842,0.9616,1.0074,"resp","0",2,"abs25"
1.018,1.0006,1.0356,"resp","1",2,"abs25"
1.0138,0.9902,1.038,"resp","2",2,"abs25"
1.0016,0.9872,1.0161,"resp","0",1,"abs50"
1.0076,0.9964,1.0189,"resp","1",1,"abs50"
0.9951,0.9819,1.0085,"resp","2",1,"abs50"
0.9941,0.9717,1.0171,"resp","0",2,"abs50"
1.0192,0.9971,1.0418,"resp","1",2,"abs50"
1.0252,0.9988,1.0522,"resp","2",2,"abs50"
0.9992,0.9843,1.0143,"resp","0",1,"abs75"
1.0102,0.9999,1.0206,"resp","1",1,"abs75"
0.9967,0.983,1.0107,"resp","2",1,"abs75"
1.0085,0.9821,1.0356,"resp","0",2,"abs75"
1.0069,0.9802,1.0344,"resp","1",2,"abs75"
1.0249,0.9982,1.0524,"resp","2",2,"abs75"
