"Exposure","Statistics","Fukuoka","Kitakyushu","Kumamoto","Kagoshima","Nagasaki","Oita","Miyazaki","Saga"
"SO2 (ppb)","Median, IQR","4.5, 2.8","4.4, 2.5","2.9, 2.2","5.5, 4.9","3.7, 3.6","4.8, 1.9","2, 1.8","4.1, 2.9"
"SO2 (ppb)","Max","20.2","14.5","12.8","146.6","20.2","11","9.8","15.5"
"NO2 (ppb)","Median, IQR","18.3, 13.7","20.6, 13.1","11.5, 6","10.9, 8.4","14.1, 10.7","8.6, 5.2","20.8, 17.3","13.1, 11.4"
"NO2 (ppb)","Max","53.8","53.8","34.2","46.1","45.8","25.6","44.4","43.2"
"Mean Temperature (°C)","Median, IQR","11, 6.4","11, 6.4","11.3, 7.2","13.5, 6.4","11.6, 6.5","10.5, 6.4","12.7, 6.5","10.7, 7"
"Mean Temperature (°C)","Max","24.9","24.9","25.2","24.4","24.2","22","25.2","24.3"
"Relative Humidity (%)","Median, IQR","62, 19","62, 19","64, 18","65, 19","64, 18","62, 20","67, 21.5","65, 17"
"Relative Humidity (%)","Max","98","98","97","97","99","99","98","100"
