"rr","cil","ciu","outcome","lag","quantile","bisection_method"
1.0072,0.9979,1.0166,"circ","0",1,"perc75"
1.0044,0.9925,1.0164,"circ","1",1,"perc75"
1.0048,0.9957,1.0141,"circ","2",1,"perc75"
1.0006,0.9883,1.0131,"circ","0",2,"perc75"
0.9904,0.9709,1.0103,"circ","1",2,"perc75"
1.0021,0.9896,1.0146,"circ","2",2,"perc75"
1.0057,0.9966,1.0149,"circ","0",1,"perc80"
1.0033,0.9912,1.0155,"circ","1",1,"perc80"
1.0051,0.997,1.0132,"circ","2",1,"perc80"
1.0033,0.9896,1.0173,"circ","0",2,"perc80"
0.9929,0.9756,1.0104,"circ","1",2,"perc80"
1.0004,0.9857,1.0153,"circ","2",2,"perc80"
1.005,0.9967,1.0135,"circ","0",1,"perc85"
1.0026,0.9899,1.0154,"circ","1",1,"perc85"
1.0034,0.9936,1.0133,"circ","2",1,"perc85"
1.0052,0.9892,1.0214,"circ","0",2,"perc85"
0.9961,0.98,1.0124,"circ","1",2,"perc85"
1.0076,0.9885,1.0271,"circ","2",2,"perc85"
1.0064,0.9975,1.0155,"circ","0",1,"abs25"
1.0039,0.9919,1.0161,"circ","1",1,"abs25"
1.0052,0.9971,1.0134,"circ","2",1,"abs25"
1.0023,0.9891,1.0156,"circ","0",2,"abs25"
0.9923,0.9702,1.0149,"circ","1",2,"abs25"
1.0003,0.9871,1.0137,"circ","2",2,"abs25"
1.0048,0.997,1.0127,"circ","0",1,"abs50"
1.0038,0.9923,1.0154,"circ","1",1,"abs50"
1.0043,0.9958,1.0129,"circ","2",1,"abs50"
1.0056,0.9884,1.023,"circ","0",2,"abs50"
0.9865,0.9694,1.0039,"circ","1",2,"abs50"
1.0042,0.9838,1.0251,"circ","2",2,"abs50"
1.0055,0.9978,1.0132,"circ","0",1,"abs75"
1.0027,0.9912,1.0144,"circ","1",1,"abs75"
1.0045,0.997,1.0119,"circ","2",1,"abs75"
0.9994,0.9788,1.0204,"circ","0",2,"abs75"
0.9843,0.9638,1.0051,"circ","1",2,"abs75"
1.003,0.9757,1.0311,"circ","2",2,"abs75"
