"I2","Q","p.Qtest","rr","cil","ciu","exposure","outcome","lag","quantile","iqrm","bisection_method"
1.739,7.633,0.366,1.006,0.9946,1.0175,"spm","resp","1",1,11.71,"abs25"
32.711,9.215,0.238,0.9947,0.9797,1.0099,"spm","resp","2",1,11.71,"abs25"
27.321,9.642,0.21,0.9842,0.9616,1.0074,"spm","resp","0",2,11.71,"abs25"
0,1.481,0.983,1.018,1.0006,1.0356,"spm","resp","1",2,11.71,"abs25"
33.668,6.584,0.473,1.0138,0.9902,1.038,"spm","resp","2",2,11.71,"abs25"
0,5.833,0.559,1.0025,0.9983,1.0068,"spm","all","0",1,11.71,"abs50"
0,3.86,0.796,1.0011,0.9969,1.0053,"spm","all","1",1,11.71,"abs50"
0,4.528,0.717,1.0013,0.9971,1.0055,"spm","all","2",1,11.71,"abs50"
0,3.164,0.869,0.9992,0.9901,1.0084,"spm","all","0",2,11.71,"abs50"
25.416,9.791,0.201,1.0039,0.9926,1.0153,"spm","all","1",2,11.71,"abs50"
0,3.576,0.827,1.0027,0.9935,1.0119,"spm","all","2",2,11.71,"abs50"
0,6.357,0.499,1.0048,0.997,1.0127,"spm","circ","0",1,11.71,"abs50"
42.322,10.448,0.165,1.0038,0.9923,1.0154,"spm","circ","1",1,11.71,"abs50"
11.4,5.09,0.649,1.0043,0.9958,1.0129,"spm","circ","2",1,11.71,"abs50"
0,3.852,0.797,1.0056,0.9884,1.023,"spm","circ","0",2,11.71,"abs50"
0,3.868,0.795,0.9865,0.9694,1.0039,"spm","circ","1",2,11.71,"abs50"
21.74,6.512,0.481,1.0042,0.9838,1.0251,"spm","circ","2",2,11.71,"abs50"
33.014,10.459,0.164,1.0016,0.9872,1.0161,"spm","resp","0",1,11.71,"abs50"
6.677,6.667,0.464,1.0076,0.9964,1.0189,"spm","resp","1",1,11.71,"abs50"
26.249,8.822,0.266,0.9951,0.9819,1.0085,"spm","resp","2",1,11.71,"abs50"
0.239,7.404,0.388,0.9941,0.9717,1.0171,"spm","resp","0",2,11.71,"abs50"
0,5.201,0.635,1.0192,0.9971,1.0418,"spm","resp","1",2,11.71,"abs50"
19.294,5.348,0.618,1.0252,0.9988,1.0522,"spm","resp","2",2,11.71,"abs50"
0,6.777,0.452,1.0022,0.998,1.0063,"spm","all","0",1,11.71,"abs75"
64.561,5.914,0.55,1.0008,0.9929,1.0087,"spm","all","1",1,11.71,"abs75"
0,4.073,0.771,1.0014,0.9973,1.0055,"spm","all","2",1,11.71,"abs75"
0,3.609,0.824,1.0007,0.9898,1.0117,"spm","all","0",2,11.71,"abs75"
27.91,10.488,0.163,1.0073,0.9933,1.0215,"spm","all","1",2,11.71,"abs75"
12.325,4.639,0.704,1.0035,0.9913,1.0159,"spm","all","2",2,11.71,"abs75"
1.547,5.236,0.631,1.0055,0.9978,1.0132,"spm","circ","0",1,11.71,"abs75"
45.772,10.779,0.149,1.0027,0.9912,1.0144,"spm","circ","1",1,11.71,"abs75"
